number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,-0.831352954852419,2025-05-28 09:16:53.061586,2025-05-28 09:17:24.897696,0 days 00:00:31.836110,0.5322873608220651,0.23250880157235582,7,955,0.739196970611895,COMPLETE
1,-0.45839266814091884,2025-05-28 09:17:24.898910,2025-05-28 09:17:32.931566,0 days 00:00:08.032656,0.9431179440230844,0.20072356100867184,6,237,0.6107950375726547,COMPLETE
2,-0.4544383908251056,2025-05-28 09:17:32.932799,2025-05-28 09:17:47.330601,0 days 00:00:14.397802,0.6720876755789968,0.2981483740254578,3,664,0.9938581333471712,COMPLETE
3,-0.4679147341589441,2025-05-28 09:17:47.331621,2025-05-28 09:17:54.685808,0 days 00:00:07.354187,0.8996340188081391,0.19405450163573068,8,224,0.8776026120465639,COMPLETE
4,-0.6307647307439184,2025-05-28 09:17:54.686949,2025-05-28 09:18:13.929253,0 days 00:00:19.242304,0.7882119531376499,0.20709956486361727,6,590,0.951652745965823,COMPLETE
5,-0.541858831812782,2025-05-28 09:18:13.930520,2025-05-28 09:18:25.703339,0 days 00:00:11.772819,0.5619388801889549,0.22942096700739115,10,341,0.8104697997904673,COMPLETE
6,-0.397099260358312,2025-05-28 09:18:25.704339,2025-05-28 09:18:46.030683,0 days 00:00:20.326344,0.9963302405526803,0.017494707786098393,8,578,0.5498747240041589,COMPLETE
7,-0.40544230418876825,2025-05-28 09:18:46.031861,2025-05-28 09:18:58.653167,0 days 00:00:12.621306,0.6482202739038925,0.10995253121520096,4,491,0.9164377379135358,COMPLETE
8,-0.38814941741947406,2025-05-28 09:18:58.654290,2025-05-28 09:19:06.983062,0 days 00:00:08.328772,0.6061889066087607,0.04783443989336405,5,222,0.6055412765809032,COMPLETE
9,-0.8583155424366076,2025-05-28 09:19:06.984124,2025-05-28 09:19:29.935054,0 days 00:00:22.950930,0.8064536614412996,0.27054774468136733,8,682,0.9853080084955477,COMPLETE
10,-0.40738207490352396,2025-05-28 09:19:29.935915,2025-05-28 09:19:32.047351,0 days 00:00:02.111436,0.6531068453473804,0.030867373291896164,4,101,0.6737892446905891,COMPLETE
11,-0.39880021423463946,2025-05-28 09:19:32.076162,2025-05-28 09:19:52.309759,0 days 00:00:20.233597,0.8680226272902896,0.01704689737921546,10,853,0.5006407891868322,COMPLETE
12,-0.4146732837815348,2025-05-28 09:19:52.310504,2025-05-28 09:20:03.265400,0 days 00:00:10.954896,0.995537801661253,0.08190748406318192,5,441,0.5223806182830976,COMPLETE
13,-0.4793351164901183,2025-05-28 09:20:03.266099,2025-05-28 09:20:21.307445,0 days 00:00:18.041346,0.7093064597304546,0.07113563577601062,8,775,0.6006595628036066,COMPLETE
14,-0.44974828897554797,2025-05-28 09:20:21.308240,2025-05-28 09:20:29.531295,0 days 00:00:08.223055,0.5594741708212666,0.12959753527611703,7,374,0.6028586066284229,COMPLETE
15,-0.39056290514358777,2025-05-28 09:20:29.533173,2025-05-28 09:20:33.870924,0 days 00:00:04.337751,0.6113607147789852,0.053232086676038196,9,113,0.6914243512830334,COMPLETE
16,-0.3904406366375858,2025-05-28 09:20:33.873417,2025-05-28 09:20:37.416248,0 days 00:00:03.542831,0.6050400394407418,0.07266469110412431,9,124,0.7086869953972533,COMPLETE
17,-0.40531056120521863,2025-05-28 09:20:37.417283,2025-05-28 09:20:44.705167,0 days 00:00:07.287884,0.5095260705721469,0.15781712989431784,5,227,0.7810503939377318,COMPLETE
18,-0.40081791111796095,2025-05-28 09:20:44.705961,2025-05-28 09:20:52.451623,0 days 00:00:07.745662,0.7308487282069778,0.09644095239098427,5,295,0.6764157738877364,COMPLETE
19,-0.42725497950946273,2025-05-28 09:20:52.452593,2025-05-28 09:20:57.361883,0 days 00:00:04.909290,0.5974570533220147,0.15360803185945665,9,199,0.8391574846895755,COMPLETE
