number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,-0.38980955379516413,2025-05-28 09:09:59.557433,2025-05-28 09:10:13.235111,0 days 00:00:13.677678,0.6053686193250013,0.03471140745011293,8,257,0.5172355596056495,COMPLETE
1,-0.45186443866307374,2025-05-28 09:10:13.236503,2025-05-28 09:10:36.965473,0 days 00:00:23.728970,0.809961805769922,0.08566752827574307,7,514,0.5888416878464042,COMPLETE
2,-0.5125827949691606,2025-05-28 09:10:36.966670,2025-05-28 09:11:18.798389,0 days 00:00:41.831719,0.8094642507844718,0.06635193137753338,9,817,0.9217202582638824,COMPLETE
3,-0.38999462835754434,2025-05-28 09:11:18.799514,2025-05-28 09:11:42.516277,0 days 00:00:23.716763,0.9757429633574353,0.02845384499298865,5,753,0.787599723943291,COMPLETE
4,-0.40974897468287796,2025-05-28 09:11:42.517621,2025-05-28 09:11:52.118689,0 days 00:00:09.601068,0.5967659165029844,0.012854890755308589,3,445,0.7569718122056841,COMPLETE
5,-0.5102473713239544,2025-05-28 09:11:52.120059,2025-05-28 09:12:20.004613,0 days 00:00:27.884554,0.7082842220603257,0.10000110423920529,8,629,0.5180249623959132,COMPLETE
6,-0.4457180893844517,2025-05-28 09:12:20.006775,2025-05-28 09:12:51.413098,0 days 00:00:31.406323,0.5406086545844573,0.08489745766239899,6,999,0.979571162370451,COMPLETE
7,-0.6897097976468005,2025-05-28 09:12:51.414351,2025-05-28 09:13:36.012895,0 days 00:00:44.598544,0.6693364614946473,0.26679167526628905,9,822,0.5046868837594172,COMPLETE
8,-0.6461904959433185,2025-05-28 09:13:36.014053,2025-05-28 09:14:26.688769,0 days 00:00:50.674716,0.99535687817501,0.18184365449733594,8,802,0.9059513981466745,COMPLETE
9,-0.5029231760599349,2025-05-28 09:14:26.689794,2025-05-28 09:14:59.405895,0 days 00:00:32.716101,0.9797264894938136,0.1388689211117826,5,949,0.5658388231278404,COMPLETE
10,-0.46317812104392225,2025-05-28 09:14:59.407217,2025-05-28 09:15:07.426711,0 days 00:00:08.019494,0.5161838696177371,0.2140410070639917,10,150,0.6497503734572438,COMPLETE
11,-0.47787222647261796,2025-05-28 09:15:07.427711,2025-05-28 09:15:12.147383,0 days 00:00:04.719672,0.8845593081433363,0.010377320577569654,4,195,0.7670343771483343,COMPLETE
12,-0.3874425296161268,2025-05-28 09:15:12.148282,2025-05-28 09:15:24.612080,0 days 00:00:12.463798,0.6427617197970642,0.04593368313089118,6,328,0.8282688973771823,COMPLETE
13,-0.4465437554375923,2025-05-28 09:15:24.613242,2025-05-28 09:15:39.689803,0 days 00:00:15.076561,0.6348454889152523,0.14440278253564365,7,317,0.691623120456031,COMPLETE
14,-0.38883076299685415,2025-05-28 09:15:39.690970,2025-05-28 09:15:53.043536,0 days 00:00:13.352566,0.5980728841305158,0.05131265653861654,6,324,0.8364712624002689,COMPLETE
15,-0.4231282687655102,2025-05-28 09:15:53.044825,2025-05-28 09:16:08.415367,0 days 00:00:15.370542,0.7179758893282128,0.118460023580006,6,396,0.85664245848268,COMPLETE
16,-0.38635341147384145,2025-05-28 09:16:08.416394,2025-05-28 09:16:19.328143,0 days 00:00:10.911749,0.565912615654999,0.06487356962234996,5,346,0.8392178920653307,COMPLETE
17,-0.38896399427253414,2025-05-28 09:16:19.329056,2025-05-28 09:16:22.816644,0 days 00:00:03.487588,0.5036307971230563,0.1858545777468117,4,102,0.6936717177051019,COMPLETE
18,-0.5383944547653338,2025-05-28 09:16:22.817753,2025-05-28 09:16:43.303052,0 days 00:00:20.485299,0.7800776102964868,0.288516504293733,5,592,0.8219970229714603,COMPLETE
19,-0.3897516165341465,2025-05-28 09:16:43.304252,2025-05-28 09:16:52.834850,0 days 00:00:09.530598,0.5718128806717049,0.052906791564822475,3,445,0.9999297938205269,COMPLETE
